username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,105,stress,970869,991,-0.3,0.4
John Assaraf,31251832,2017-05-18 18:05:28,"Once each hour, #visualize for 1 min the goal you want to reach in the next hour. You'll experience greater #productivity with less #stress.",21,visualize,111708,27198,0.11111111111111112,0.18888888888888888
Real Marsha Wright,61608747,2017-05-18 03:17:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/yGbj6cHskI",26,Depression,556390,422194,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-18 03:27:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/EHqmYKXAeT",16,depression,556390,422194,0.0,0.0
Evan Carmichael,21771022,2017-05-19 09:00:34,"Don't #cry over the #past, it's gone. Don't #stress about the #future, it hasn't arrived. Live in the #present and... https://t.co/uoDdCfURqs",4,cry,230924,22722,-0.02840909090909091,0.21875
Cleveland Clinic,24236494,2017-05-14 16:59:00,3 reasons adult coloring helps relieve #stress and relax your brain: https://t.co/ny6ttdFmSG https://t.co/iePb3gf0U4,70,stress,970869,991,0.1,0.3
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,556390,422194,0.25,0.8
AsapSCIENCE,592912724,2017-05-11 16:12:16,NEW VIDEO: 7 Simple Tips To Reduce Your #STRESS Right Now! Watch HERE: https://t.co/aQwVfuWIHC https://t.co/h5PWk46CUl,42,STRESS,383568,782,0.16450216450216448,0.4491341991341991
Scott Hanselman,5676102,2017-05-10 16:34:10,It takes a cast of thousands to make an 8 minute presentation go well. Here's a backstage view of what happens to y... https://t.co/VcPK2pQUKA,20,None,186617,7083,0.0,0.0
Cleveland Clinic MD,17442457,2017-05-14 14:41:01,Nurses create new systems to reduce #stress on a fast-paced surgical short stay unit https://t.co/yndybUFRoa https://t.co/GBvuwP1x9m,18,stress,239062,1638,0.06818181818181818,0.37727272727272726
Lolly Daskal,16248319,2017-05-12 12:15:29,13 of The Best Apps To Manage Stress   by @LollyDaskal https://t.co/O5Vz4aOXk5 #Leadership #Stress #Business #HR,16,Leadership,1285082,1203640,1.0,0.3
MayoClinicHealthSys,21888985,2017-05-11 19:10:00,Lowering #stress may help your heart. https://t.co/DvLBxQkKcs via @keyc,17,stress,14821,2067,0.0,0.0
